,customer_id,age,gender_cd,region_size,foreign_flg,entrepreneur_flg,auto_flg,traveler_flg,partnership_flg,child_amt,realty_type,segment_cd,bundle_nm,confirmed_income,predicted_income,product_cd,functional_cd,finish_dttm,state_talk_time_sec,wo_hit_status_result_desc,wo_hit_status_reason_desc,employee_id,emp_age,emp_age_new,emp_gender_cd,emp_children_cnt,emp_work_months_cnt,emp_citizenship_country_cd,emp_marital_status_cd
0,139895392,42.0,M,msk,0.0,0.0,1.0,0.0,1.0,0.0,Квартира,m_04 (11),,,,Credit Cards,Preapprove,2022-11-02 10:00:00,221.0,"Дозвон, Отказ",Другой банк,172244.0,26.0,24.0,,,0.0,,
1,342841087,40.0,F,town,0.0,0.0,1.0,0.0,0.0,1.0,Квартира,t_07 (29),,,,Cash Loan,Incoming,2022-08-05 12:00:00,26.0,"Дозвон, Отказ",Переведен в банк,17861.0,40.0,38.0,W,,82.0,,
2,104017416,30.0,M,,,,,,,,,,,,,Credit Cards,Preapprove,2024-03-03 13:00:00,79.0,"Дозвон, Отказ",Кредитная карта не нужна,247291.0,19.0,18.0,M,,,,
3,579880064,65.0,F,,,,,,,,,,,,,Credit Cards,Preapprove,2024-07-12 09:00:00,21.0,"Дозвон, Отказ",Кредитная карта не нужна,279851.0,18.0,19.0,W,,,,
4,124379737,28.0,M,msk,0.0,0.0,1.0,0.0,1.0,1.0,Квартира,m_07 (18),,,,Credit Cards,Afterfilling,2022-02-11 11:00:00,46.0,"Дозвон, Отказ",Левый контакт,134188.0,30.0,27.0,,,0.0,,
5,505902204,19.0,M,town,0.0,0.0,0.0,0.0,0.0,0.0,Нет своего жилья,t_05 (19),,,,Credit Cards,Meeting,2023-11-13 19:00:00,96.0,"Дозвон, Успешно",Назначена встреча,228467.0,25.0,24.0,M,,1.0,Россия,Холост/не замужем
6,295999775,55.0,M,urban,0.0,0.0,1.0,0.0,1.0,1.0,Квартира,u_06 (23),Pro,,13823.5,Casco,Afterfilling,2023-02-01 15:00:00,1000.0,"Дозвон, Успешно",Письмо с оплатой,3021.0,54.0,53.0,W,,67.0,,
7,63047752,52.0,F,town,0.0,0.0,1.0,0.0,1.0,0.0,Жилой дом,t_03 (10),Pro,,,Cash Loan,Preapprove,2023-12-15 16:00:00,94.0,"Дозвон, Отказ",Кредит уже не нужен,171390.0,29.0,28.0,W,,,,
8,394092560,27.0,F,urban,0.0,0.0,1.0,0.0,1.0,1.0,Квартира,u_07 (27),Pro,,15323.5,Cash Loan,Agreement,2023-03-26 10:00:00,21.0,"Дозвон, Отказ",Кредит уже не нужен,108662.0,58.0,56.0,M,,19.0,,
9,168934875,33.0,F,town,0.0,0.0,0.0,0.0,1.0,1.0,Квартира,t_07 (29),Pro,,15140.0,Credit Cards,Downsell,2024-07-22 10:00:00,20.0,"Дозвон, Отказ",Отказ прослушать предложение,268164.0,18.0,19.0,W,,3.0,,
